date,home_team,away_team,team,scorer,minute,own_goal,penalty,torneio
1970-06-03,Brazil,Czechoslovakia,Brazil,Jairzinho,61,FALSE,FALSE,FIFA World Cup
1970-06-03,Brazil,Czechoslovakia,Brazil,Jairzinho,83,FALSE,FALSE,FIFA World Cup
1970-06-07,Brazil,England,Brazil,Jairzinho,59,FALSE,FALSE,FIFA World Cup
1970-06-10,Brazil,Romania,Brazil,Pelé,19,FALSE,FALSE,FIFA World Cup
1970-06-10,Brazil,Romania,Brazil,Jairzinho,22,FALSE,FALSE,FIFA World Cup
1970-06-10,Brazil,Romania,Brazil,Pelé,67,FALSE,FALSE,FIFA World Cup
1970-06-14,Brazil,Peru,Brazil,Rivellino,11,FALSE,FALSE,FIFA World Cup
1970-06-14,Brazil,Peru,Brazil,Tostão,15,FALSE,FALSE,FIFA World Cup
1970-06-14,Brazil,Peru,Brazil,Tostão,52,FALSE,FALSE,FIFA World Cup
1970-06-14,Brazil,Peru,Brazil,Jairzinho,75,FALSE,FALSE,FIFA World Cup
1970-06-17,Brazil,Uruguay,Brazil,Clodoaldo,44,FALSE,FALSE,FIFA World Cup
1970-06-17,Brazil,Uruguay,Brazil,Jairzinho,76,FALSE,FALSE,FIFA World Cup
1970-06-17,Brazil,Uruguay,Brazil,Rivellino,89,FALSE,FALSE,FIFA World Cup
1970-06-21,Brazil,Italy,Brazil,Pelé,18,FALSE,FALSE,FIFA World Cup
1970-06-21,Brazil,Italy,Brazil,Gérson,65,FALSE,FALSE,FIFA World Cup
1970-06-21,Brazil,Italy,Brazil,Jairzinho,71,FALSE,FALSE,FIFA World Cup
1970-06-21,Brazil,Italy,Brazil,Carlos Alberto Torres,86,FALSE,FALSE,FIFA World Cup
1974-06-22,DR Congo,Brazil,Brazil,Jairzinho,12,FALSE,FALSE,FIFA World Cup
1974-06-22,DR Congo,Brazil,Brazil,Rivellino,66,FALSE,FALSE,FIFA World Cup
